type,posts
ESFJ,"Friendly, outgoing, neighborly – in a word, They are gregarious, so much so that they can become restless when isolated from people. They love to talk with others, and will often strike up a conversation with strangers and chat pleasantly about any topic that comes to mind. Friendships matter a great deal to They, and their conversations with friends often touch on good times from years past. Family traditions are also sacred to them, and they carefully observe birthdays and anniversaries. In addition, They show a delightful fascination with news of their friends and neighbors. If we wish to know what’s been going on in the local community, school, or church, they’re happy to fill us in on all the details."
ESFJ,"They are extremely sensitive to the feelings of others, which makes them perhaps the most sympathetic of all the types, but which also leaves them somewhat self-conscious, that is, highly sensitive to what others think of them. Loving and affectionate themselves, they need to be loved in return. In fact, They can be crushed by personal criticism, and are happiest when given ample appreciation both for themselves personally and for the tireless service they give to others."
ISFJ,"We are lucky that Protectors make up as much as ten percent the population, because their primary interest is in the safety and security of those they care about – their family, their circle of friends, their students, their patients, their boss, their fellow-workers, or their employees. Protectors have an extraordinary sense of loyalty and responsibility in their makeup, and seem fulfilled in the degree they can shield others from the dirt and dangers of the world. Speculating and experimenting do not intrigue Protectors, who prefer to make do with time-honored and time-tested products and procedures rather than change to new. At work Protectors are seldom happy in situations where the rules are constantly changing, or where long-established ways of doing things are not respected. For their part, Protectors value tradition, both in the culture and in their family. Protectors believe deeply in the stability of social ranking conferred by birth, titles, offices, and credentials. And they cherish family history and enjoy caring for family property, from houses to heirlooms."
ISFJ,"Wanting to be of service to others, Protectors find great satisfaction in assisting the downtrodden, and can deal with disability and neediness in others better than any other type. They are not as outgoing and talkative as the XXXX Guardians [They], and their shyness is often misjudged as stiffness, even coldness, when in truth Protectors are warm-hearted and sympathetic, giving happily of themselves to those in need."
ISFJ,"Their reserve ought really to be seen as an expression of their sincerity and seriousness of purpose. The most diligent of all the types, Protectors are willing to work long, hard hours quietly doing all the thankless jobs that others manage to avoid. Protectors are quite happy working alone; in fact, in positions of authority they may try to do everything themselves rather than direct others to get the job done. Thoroughness and frugality are also virtues for them. When Protectors undertake a task, they will complete it if humanly possible. They also know better than any other type the value of a dollar, and they abhor the squandering or misuse of money. To save, to put something aside against an unpredictable future, to prepare for emergencies-these are actions near and dear to the Protector’s heart. For all these reasons, Protectors are frequently overworked, just as they are frequently misunderstood and undervalued. Their contributions, and also their economies, are often taken for granted, and they rarely get the gratitude they deserve."
ESTP,"There are lots of They — maybe ten or so percent of the population, and life is never dull around them. In a word, they are men and women of action. When a XXXX is present, things begin to happen: the lights come on, the music plays, the games begin. Clever and full of fun, They live with a theatrical flourish which makes even the most routine events seem exciting. Not that they waste much time on routine events. In work and in play, They demand new activities and new challenges. Bold and daring at heart, and ever-optimistic that things will go their way, They will take tremendous risks to get what they want, and seem exhilarated by walking close to the edge of disaster. Because of this, they make the very best trouble-spot administrators and negotiators, and they can be outstanding entrepreneurs, able to swing deals and kick-start enterprises in a way no other type can."
ESTP,"They also have a hearty appetite for the finer things of life, the best food, the best wine, expensive cars, and fashionable clothes. And they are extremely sophisticated in social circles, knowing many, many people by name, and knowing how to say just the right thing to most everyone they meet."
ESTP,"Charming, confident, and popular, They delight their friends and investors with their endless supply of stories and jokes. At the same time, these smooth operators are usually something of a mystery to others. While they live in the moment and lend excitement – and unpredictability – to all their relationships, they rarely let anyone get really close to them. They have a low tolerance for authority and commitment, and are likely to leave situations where they are expected to toe the mark, or where they must play second fiddle. They understand well the maxim, “He who travels fastest, travels alone,” although they are not likely to be lonely for long, since their boldness and sense of adventure tends to make them highly attractive to many other people."
ISTP,"The nature of They is most clearly seen in their masterful operation of tools, equipment, machines, and instruments of all kinds. Most us use tools in some capacity, of course, but They (as much as ten percent of the population) are the true masters of tool work, with an innate ability to command tools and to become expert at all the crafts requiring tool skills. Even from an early age they are drawn to tools as if to a magnet — tools fall into their hands demanding use, and they must work with them."
ISTP,"Like all the Artisans, They are people who love action, and who know instinctively that their activities are more enjoyable, and more effective, if done impulsively, spontaneously, subject to no schedules or standards but their own. In a sense, They do not work with their tools, but play with them when the urge strikes them. They also seek fun and games on impulse, looking for any opportunity, and just because they feel like it, to play with their various toys: cars, motorcycles, boats, dune-buggies, hunting rifles, fishing tackle, scuba gear, and on and on. They thrive on excitement, particularly the rush of speed-racing, water-skiing, surfing. And They are fearless in their play, exposing themselves to danger again and again, even despite frequent injury. Of all the types, They are most likely to be risk takers, pitting themselves, or their technique, against chance or odds."
ISTP,"Perhaps this is because they tend to communicate through action, and show little interest in developing language skills. Their lack of expressiveness can isolate them at school and on the job, and even though they hang around with their own kind in play, they let their actions speak for them, and their actual conversation is sparse and brief."
ISTP,"They can be wonderfully generous and loyal to their friends, teammates, and sidekicks, often giving up their evenings or weekends to help with building projects or mechanical repairs-house remodeling, for example, or working on cars or boats. On the other hand, they can be fiercely insubordinate to those in authority, seeing rules and regulations as unnecessarily confining. They will not usually go against regulations openly, but will simply ignore them. More than anything, They want to be free to do their own thing, and they are proud of their ability to do it with an artist’s skill."
ESFP,"They have the special ability, even among the Artisans, to delight those around them with their warmth, their good humor, and with their often extraordinary skills in music, comedy, and drama. Whether on the job, with friends, or with their families, They are exciting and full of fun, and their great social interest lies in stimulating those around them to take a break from work and worry, to lighten up and enjoy life."
ESFP,"They are plentiful, something over ten percent of the population, and this is fortunate, because they bring pleasure to so many of us. They are the people for whom it can truly be said “all the world’s a stage.” Born entertainers, they love the excitement of playing to an audience, and will quickly become the center of attention wherever they are. They aren’t comfortable being alone, and seek the company of others whenever possible — which they usually find, for they make wonderful playmates. They are smooth, talkative, and witty; they always seem to know the latest jokes and stories, and are quick with wisecracks and wordplay-nothing is so serious or sacred that it can’t be made fun of. They also like to live in the fast lane, and seem up on the latest fashions of dress, food, drink, and music. Lively and uninhibited, They are the life of the party, always trying to create in those around them a mood of eat, drink, and be merry."
ESFP,"The They’ talent for enjoying life is healthy for the most part, though it also makes them more subject to temptations than the other types. Pleasure seems to be an end in itself for them, and variety is the spice of life. And so They are open to trying almost anything that promises them a good time, not always giving enough thought to the consequences."
ESFP,"Like the other Artisans, They are incurably optimistic – “Always look on the bright side,” is their motto — and they will avoid worries and troubles by ignoring them as long as possible. They are also the most generous of all the types, and second only to the XXXX Artisans [They] in kindness. They haven’t a mean or stingy bone in their body-what’s theirs is yours-and they seem to have little idea of saving or conserving. They give what they have to one and all without expectation of reward, just as they love freely, and without expecting anything in return. In so many ways, They view life as an eternal cornucopia from which flows an endless supply of pleasures."
ISFP,"More than the other Artisans, They are in tune with their senses, and so have a sure grasp of what belongs, and what doesn’t belong, in all kinds of works of art. While the other Artisans are skilled with people, tools, and entertainment, They have an exceptional ability-seemingly inborn-to work with subtle differences in color, tone, texture, aroma, and flavor."
ISFP,"Although They often put long, lonely hours into their artistry, they are just as impulsive as the other Artisans. They do not wait to consider their moves; rather, they act in the here and now, with little or no planning or preparation. They are seized by the act of artistic composition, as if caught up in a whirlwind. The act is their master, not the reverse. They paint or sculpt, they dance or skate, they write melodies or make recipes-or whatever-simply because they must. They climb the mountain because it is there."
ISFP,"This ability to lose themselves in action accounts for the spectacular individual accomplishments of some They, and yet on their social side they show a kindness unmatched by all the other types. They are especially sensitive to the pain and suffering of others, and they sympathize freely with the sufferer. Some have a remarkable way with young children, almost as if there were a natural bond of sympathy and trust between them. A similar bond may be seen between some They and animals, even wild animals. Many They have an instinctive longing for the wilds, and nature seems to welcome them."
ISFP,"They are just as plentiful as the other Artisans, say nine or ten per cent of the population, but in general they are very difficult to observe and thus greatly misunderstood. Very likely the difficulty comes from their tendency not to express themselves verbally, but through their works of art. They are usually not interested in developing ability in public speaking, or even in the art of conversation; they prefer to feel the pulse of life by touch, in the muscles, in the eyes, in the ears, on the tongue. Make no mistake, They are just as interested as other types in sharing their view of the world, and if they find a medium of non-verbal communication-some art form-then they will express their character quite eloquently. If not, they simply remain unknown, their quietness leaving their character all but invisible."
ENFJ,"Even more than the other Idealists,They have a natural talent for leading students or trainees toward learning, or as Idealists like to think of it, they are capable of calling forth each learner’s potentials. They (around two percent of the population) are able – effortlessly, it seems, and almost endlessly-to dream up fascinating learning activities for their students to engage in. In some They, this ability to fire the imagination can amount to a kind of genius which other types find hard to emulate. But perhaps their greatest strength lies in their belief in their students. They look for the best in their students, and communicate clearly that each one has untold potential, and this confidence can inspire their students to grow and develop more than they ever thought possible."
ENFJ,"In whatever field they choose, They consider people their highest priority, and they instinctively communicate personal concern and a willingness to become involved. Warmly outgoing, and perhaps the most expressive of all the types, They are remarkably good with language, especially when communicating in speech, face to face. And they do not hesitate to speak out and let their feelings be known. Bubbling with enthusiasm, They will voice their passions with dramatic flourish, and can, with practice, become charismatic public speakers. This verbal ability gives They a good deal of influence in groups, and they are often asked to take a leadership role."
ENFJ,"They like things settled and organized, and will schedule their work hours and social engagements well ahead of time — and they are absolutely trustworthy in honoring these commitments. Valuing as they do interpersonal cooperation and harmonious relations, They are extraordinarily tolerant of others, are easy to get along with, and are usually popular wherever they are."
ENFJ,"They are highly sensitive to others, which is to say their intuition tends to be well developed. Certainly their insight into themselves and others is unparalleled. Without a doubt, they know what is going on inside themselves, and they can read other people with uncanny accuracy. They also identify with others quite easily, and will actually find themselves picking up the characteristics, emotions, and beliefs of those around them. Because they slip almost unconsciously into other people’s skin in this way, They feel closely connected with those around them, and thus show a sincere interest in the joys and problems of their employees, colleagues, students, clients, and loved ones."
INFJ,"They have an exceptionally strong desire to contribute to the welfare of others, and find great personal fulfillment interacting with people, nurturing their personal development, guiding them to realize their human potential. Although they are happy working at jobs (such as writing) that require solitude and close attention, They do quite well with individuals or groups of people, provided that the personal interactions are not superficial, and that they find some quiet, private time every now and then to recharge their batteries. They are both kind and positive in their handling of others; they are great listeners and seem naturally interested in helping people with their personal problems. Not usually visible leaders, They prefer to work intensely with those close to them, especially on a one-to-one basis, quietly exerting their influence behind the scenes."
INFJ,"They are scarce, little more than three percent of the population, and can be hard to get to know, since they tend not to share their innermost thoughts or their powerful emotional reactions except with their loved ones. They are highly private people, with an unusually rich, complicated inner life. Friends or colleagues who have known them for years may find sides emerging which come as a surprise. Not that They are flighty or scattered; they value their integrity a great deal, but they have mysterious, intricately woven personalities which sometimes puzzle even them."
INFJ,"They tend to work effectively in organizations. They value staff harmony and make every effort to help an organization run smoothly and pleasantly. They understand and use human systems creatively, and are good at consulting and cooperating with others. As employees or employers, They are concerned with people’s feelings and are able to act as a barometer of the feelings within the organization."
INFJ,"Blessed with vivid imaginations, They are often seen as the most poetical of all the types, and in fact they use a lot of poetic imagery in their everyday language. Their great talent for language-both written and spoken-is usually directed toward communicating with people in a personalized way. They are highly intuitive and can recognize another’s emotions or intentions – good or evil – even before that person is aware of them. They themselves can seldom tell how they came to read others’ feelings so keenly. This extreme sensitivity to others could very well be the basis of the XXXX’s remarkable ability to experience a whole array of psychic phenomena."
ENFP,"Like the other Idealists, They are rather rare, say three or four percent of the population, but even more than the others they consider intense emotional experiences as being vital to a full life. They have a wide range and variety of emotions, and a great passion for novelty. They see life as an exciting drama, pregnant with possibilities for both good and evil, and they want to experience all the meaningful events and fascinating people in the world. The most outgoing of the Idealists, They often can’t wait to tell others of their extraordinary experiences. They can be tireless in talking with others, like fountains that bubble and splash, spilling over their own words to get it all out. And usually this is not simple storytelling; They often speak (or write) in the hope of revealing some truth about human experience, or of motivating others with their powerful convictions. Their strong drive to speak out on issues and events, along with their boundless enthusiasm and natural talent with language, makes them the most vivacious and inspiring of all the types."
ENFP,"Fiercely individualistic, They strive toward a kind of personal authenticity, and this intention always to be themselves is usually quite attractive to others. At the same time, They have outstanding intuitive powers and can tell what is going on inside of others, reading hidden emotions and giving special significance to words or actions. In fact, They are constantly scanning the social environment, and no intriguing character or silent motive is likely to escape their attention. Far more than the other Idealists, They are keen and probing observers of the people around them, and are capable of intense concentration on another individual. Their attention is rarely passive or casual. On the contrary, They tend to be extra sensitive and alert, always ready for emergencies, always on the lookout for what’s possible."
ENFP,"They are good with people and usually have a wide range of personal relationships. They are warm and full of energy with their friends. They are likable and at ease with colleagues, and handle their employees or students with great skill. They are good in public and on the telephone, and are so spontaneous and dramatic that others love to be in their company. They are positive, exuberant people, and often their confidence in the goodness of life and of human nature makes good things happen."
INFP,"They present a calm and serene face to the world, and can seem shy, even distant around others. But inside they’re anything but serene, having a capacity for personal caring rarely found in the other types. They care deeply about the inner life of a few special persons, or about a favorite cause in the world at large. And their great passion is to heal the conflicts that trouble individuals, or that divide groups, and thus to bring wholeness, or health, to themselves, their loved ones, and their community."
INFP,"They have a profound sense of idealism that comes from a strong personal sense of right and wrong. They conceive of the world as an ethical, honorable place, full of wondrous possibilities and potential goods. In fact, to understand They, we must understand that their deep commitment to the positive and the good is almost boundless and selfless, inspiring them to make extraordinary sacrifices for someone or something they believe in. Set off from the rest of humanity by their privacy and scarcity, They can often feel even more isolated in the purity of their idealism."
INFP,"Also, They might well feel a sense of separation because of their often misunderstood childhood. They live a fantasy-filled childhood-they are the prince or princess of fairy tales-an attitude which, sadly, is frowned upon, or even punished, by many parents. With parents who want them to get their head out of the clouds, They begin to believe they are bad to be so fanciful, so dreamy, and can come to see themselves as ugly ducklings. In truth, they are quite OK just as they are, only different from most others-swans reared in a family of ducks."
INFP,"At work, They are adaptable, welcome new ideas and new information, are patient with complicated situations, but impatient with routine details. They are keenly aware of people and their feelings, and relate well with most others. Because of their deep-seated reserve, however, they can work quite happily alone. When making decisions, They follow their heart not their head, which means they can make errors of fact, but seldom of feeling. They have a natural interest in scholarly activities and demonstrate, like the other Idealists, a remarkable facility with language. They have a gift for interpreting stories, as well as for creating them, and thus often write in lyric, poetic fashion. Frequently they hear a call to go forth into the world and help others, a call they seem ready to answer, even if they must sacrifice their own comfort."
ENTJ,"Of the four aspects of strategic analysis and definition it is the marshaling or situational organizing role that reaches the highest development in the XXXX. As this kind of role is practiced some contingency organizing is necessary, so that the second suit of the XXXX’s intellect is devising contingency plans. Structural and functional engineering, though practiced in some degree in the course of organizational operations, tend to be not nearly as well developed and are soon outstripped by the rapidly growing skills in organizing. But it must be said that any kind of strategic exercise tends to bring added strength to engineering as well as organizing skills."
ENTJ,"Hardly more than two percent of the total population, They are bound to lead others, and from an early age they can be observed taking command of groups. In some cases, they simply find themselves in charge of groups, and are mystified as to how this happened. But the reason is that they have a strong natural urge to give structure and direction wherever they are – to harness people in the field and to direct them to achieve distant goals. They resemble They in their tendency to establish plans for a task, enterprise, or organization, but They search more for policy and goals than for regulations and procedures."
ENTJ,"They cannot not build organizations, and cannot not push to implement their goals. When in charge of an organization, whether in the military, business, education, or government, They more than any other type desire (and generally have the ability) to visualize where the organization is going, and they seem able to communicate that vision to others. Their organizational and coordinating skills tends to be highly developed, which means that they are likely to be good at systematizing, ordering priorities, generalizing, summarizing, marshaling evidence, and at demonstrating their ideas. Their ability to organize, however, may be more highly developed than their ability to analyze, and the XXXX leader may need to turn to an XXXX or XXXX to provide this kind of input."
ENTJ,"They will usually rise to positions of responsibility and enjoy being executives. They are tireless in their devotion to their jobs and can easily block out other areas of life for the sake of their work. Superb administrators in any field – medicine, law, business, education, government, the military – They organize their units into smooth-functioning systems, planning in advance, keeping both short-term and long-range objectives well in mind. For the XXXX, there must always be a goal-directed reason for doing anything, and people’s feelings usually are not sufficient reason. They prefer decisions to be based on impersonal data, want to work from well thought-out plans, like to use engineered operations – and they expect others to follow suit. They are ever intent on reducing bureaucratic red tape, task redundancy, and aimless confusion in the workplace, and they are willing to dismiss employees who cannot get with the program and increase their efficiency. Although They are tolerant of established procedures, they can and will abandon any procedure when it can be shown to be ineffective in accomplishing its goal. They root out and reject ineffectiveness and inefficiency, and are impatient with repetition of error."
INTJ,"All Rationals are good at planning operations, but They are head and shoulders above all the rest in contingency planning. Complex operations involve many steps or stages, one following another in a necessary progression, and They are naturally able to grasp how each one leads to the next, and to prepare alternatives for difficulties that are likely to arise any step of the way. Trying to anticipate every contingency, They never set off on their current project without a Plan A firmly in mind, but they are always prepared to switch to Plan B or C or D if need be."
INTJ,"They are rare, comprising no more than one to two percent of the population, and they are rarely encountered outside their office, factory, school, or laboratory. Although they are highly capable leaders, They are not at all eager to take command, preferring to stay in the background until others demonstrate their inability to lead. Once they take charge, however, they are thoroughgoing pragmatists. They are certain that efficiency is indispensable in a well-run organization, and if they encounter inefficiency — any waste of human and material resources — they are quick to realign operations and reassign personnel. They do not feel bound by established rules and procedures, and traditional authority does not impress them, nor do slogans or catchwords. Only ideas that make sense to them are adopted; those that don’t, aren’t, no matter who thought of them. Remember, their aim is always maximum efficiency."
INTJ,"In their careers, They usually rise to positions of responsibility, for they work long and hard and are dedicated in their pursuit of goals, sparing neither their own time and effort nor that of their colleagues and employees. Problem-solving is highly stimulating to They, who love responding to tangled systems that require careful sorting out. Ordinarily, they verbalize the positive and avoid comments of a negative nature; they are more interested in moving an organization forward than dwelling on mistakes of the past."
INTJ,"They tend to be much more definite and self-confident than other Rationals, having usually developed a very strong will. Decisions come easily to them; in fact, they can hardly rest until they have things settled and decided. But before they decide anything, they must do the research. They are highly theoretical, but they insist on looking at all available data before they embrace an idea, and they are suspicious of any statement that is based on shoddy research, or that is not checked against reality."
ENTP,"They begin building gadgets and mechanisms as young children, and never really stop, though as adults they will turn their inventiveness to many kinds of organizations, social as well as mechanical. There aren’t many They, say about two percent of the population, but they have great impact on our everyday lives. With their innovative, entrepreneurial spirit, They are always on the lookout for a better way, always eyeing new projects, new enterprises, new processes. Always aiming to “build a better mousetrap.”They are keenly pragmatic, and often become expert at devising the most effective means to accomplish their ends. They are the most reluctant of all the types to do things in a particular manner just because that’s the way they have been done. As a result, they often bring fresh, new approaches to their work and play. They are intensely curious and continuously probe for possibilities, especially when trying to solve complex problems. They are filled with ideas, but value ideas only when they make possible actions and objects. Thus they see product design not as an end in itself, but as a means to an end, as a way of devising the prototype that works and that can be brought to market. They are confident in their pragmatism, counting on their ability to find effective ways and means when they need them, rather than making a detailed blueprint in advance. A rough idea is all they need to feel ready to proceed into action."
ENTP,"They often have a lively circle of friends and are interested in their ideas and activities. They are usually easy-going, seldom critical or carping. They can be engaging conversationalists, able to express their own complicated ideas and to follow the ideas of others. When arguing issues, however, they may deliberately employ debate skills to the serious disadvantage of their opponents."
ENTP,"They are usually non-conformists in the workplace, and can succeed in many areas as long as the job does not involve too much humdrum routine. They make good leaders on pilot projects that test their ingenuity. And they are skilled at engineering human relationships and human systems, quickly grasping the politics of institutions and always wanting to understand the people within the system rather than tell them what to do. No matter what their occupation, however, They display an extraordinary talent for rising to the demands of even the most impossible situations. “It can’t be done” is a challenge to an XXXX and elicits a reaction of “I can do it.”"
INTP,"They need not be thought of as only interested in drawing blueprints for buildings or roads or bridges. They are the master designers of all kinds of theoretical systems, including school curricula, corporate strategies, and new technologies. For They, the world exists primarily to be analyzed, understood, explained – and re-designed. External reality in itself is unimportant, little more than raw material to be organized into structural models. What is important for They is that they grasp fundamental principles and natural laws, and that their designs are elegant, that is, efficient and coherent."
INTP,"They are rare – maybe one percent of the population – and show the greatest precision in thought and speech of all the types. They tend to see distinctions and inconsistencies instantaneously, and can detect contradictions no matter when or where they were made. It is difficult for an XXXX to listen to nonsense, even in a casual conversation, without pointing out the speaker’s error. And in any serious discussion or debate They are devastating, their skill in framing arguments giving them an enormous advantage. They regard all discussions as a search for understanding, and believe their function is to eliminate inconsistencies, which can make communication with them an uncomfortable experience for many."
INTP,"Ruthless pragmatists about ideas, and insatiably curious, They are driven to find the most efficient means to their ends, and they will learn in any manner and degree they can. They will listen to amateurs if their ideas are useful, and will ignore the experts if theirs are not. Authority derived from office, credential, or celebrity does not impress them. They are interested only in what make sense, and thus only statements that are consistent and coherent carry any weight with them."
INTP,"They often seem difficult to know. They are inclined to be shy except with close friends, and their reserve is difficult to penetrate. Able to concentrate better than any other type, they prefer to work quietly at their computers or drafting tables, and often alone. They also become obsessed with analysis, and this can seem to shut others out. Once caught up in a thought process, They close off and persevere until they comprehend the issue in all its complexity. They prize intelligence, and with their grand desire to grasp the structure of the universe, they can seem arrogant and may show impatience with others who have less ability, or who are less driven."
ISTJ,"The XXXX theme is planning and monitoring, ensuring predictable quality. Thorough, systematic, and careful. Sees discrepancies, omissions, and pitfalls. Talents lie in administrating and regulating. Dependable, realistic, and sensible. Want to conserve the resources of the organization, group, family, or culture and persevere toward that goal. Thrive on planning ahead and being prepared. Like helping others through their roles as parent, supervisor, teammate, and community volunteer."
ISFJ,"The XXXX theme is protecting and caretaking, making sure their charges are safe from harm. Talents lie in making sure everything is taken care of so others can succeed and accomplish their goals. Desiring to serve individual needs, often work long hours. Quietly friendly, respectful, unassuming. Thrive on serving quietly without fanfare. Devoted to doing whatever is necessary to ensure shelter and safety, warning about pitfalls and dangers and supporting along the way"
INFJ,"The XXXX theme is foresight. Use their insights to deal with complexity in issues and people, often with a strong sense of 'knowing' before others know themselves. Talents lie in developing and guiding people. Trust their inspirations and visions, using them to help others. Thrive on helping others resolve deep personal and ethical dilemmas. Private and complex, they bring a quiet enthusiasm and industry to projects that are part of their vision."
INTJ,"The XXXX theme is strategizing, envisioning, and masterminding. Talents lie in defining goals, creating detailed plans, and outlining contingencies. Devise strategy, give structure, establish complex plans to reach distant goals dictated by a strong vision of what is needed in the long run. Thrive on putting theories to work and are open to any and all ideas that can be integrated into the complex systems they seek to understand. Drive themselves hard to master what is needed to make progress toward goals."
ISTP,"The theme for the XXXX is action-driven problem solving. Talents lie in operating all kinds of tools and instruments and using frameworks for solving problems. Keen observers of the environment, they are a storehouse of data and facts relevant to analyzing and solving problems. Thrive on challenging situations and having the freedom to craft clever solutions and do whatever it takes to fix things and make them work. Take pride in their skill and virtuosity, which they seem to effortlessly acquire."
ISFP,"Theme is composing, using whatever is at hand to get a harmonious, aesthetic result. Talents lie in combining, varying, and improvising, frequently in the arts but also in business and elsewhere. With their senses keenly tuned in they become totally absorbed in the action of the moment, finding just what fits the situation or the composition. Thrive on having the freedom to vary what they do until they get just the right effect. Take action to help others and demonstrate values. Kind and sensitive to the suffering of others."
INFP,"The theme for the XXXX is advocacy and integrity. Talents lie in helping people clarify issues, values, and identity. Support anything that allows the unfolding of the person. Encourage growth and development with quiet enthusiasm. Loyal advocates and champions, caring deeply about their causes and a few special people. Interested in contemplating life's mysteries, virtues, and vices in their search for wholeness. Thrive on healing conflicts, within and between, and taking people to the center of themselves."
INTP,"The theme for the XXXX is advocacy and integrity. Talents lie in helping people clarify issues, values, and identity. Support anything that allows the unfolding of the person. Encourage growth and development with quiet enthusiasm. Loyal advocates and champions, caring deeply about their causes and a few special people. Interested in contemplating life's mysteries, virtues, and vices in their search for wholeness. Thrive on healing conflicts, within and between, and taking people to the center of themselves."
ESTP,"The theme for They is promoting. Talents lie in persuading others and expediting to make things happen. Have an engaging, winning style that others are drawn to. Adept at picking up on minimal nonverbal cues. Anticipate the actions and reactions of others and thus win their confidence. Like the excitement and challenge of negotiating, selling, making deals, arbitrating, and in general, achieving the impossible. Thrive on action and the freedom to use all resources at hand to get desired outcomes."
ESFP,"The theme for They is performance. Warm, charming, and witty. Want to impact and help others, to evoke their enjoyment, and to stimulate them to act. Want to make a difference and do something meaningful. Often masterful at showmanship, entertaining, motivating, and presenting. Thrive on social interaction, joyful living, and the challenge of the unknown. Like helping people get what they want and need, facilitating them to get results."
ENFP,"The theme for They is inspiration, both of themselves and others. Talents lie in grasping profound significance, revealing truths, and motivating others. Very perceptive of others' hidden motives and purposes. Interested in everything about individuals and their stories as long as they are genuine. Contagious enthusiasm for 'causes' that further good and develop latent potential and the same zeal for disclosing dishonesty and inauthenticity. Frequently moved to enthusiastically communicate their "message.""
ENTP,"The theme for They is inventing, finding ingenious solutions to people and technical problems. Talents lie in developing ideas into functional and innovative applications that are the first of their kind. Thrive on finding new ways to use theories to make systems more efficient and people better off. Hunger for new projects. Have faith in their ability to instantly come up with new approaches that will work. Engineers of human relationships and systems as well as in the more scientific and technological domains."
ESTJ,"The theme for They is inventing, finding ingenious solutions to people and technical problems. Talents lie in developing ideas into functional and innovative applications that are the first of their kind. Thrive on finding new ways to use theories to make systems more efficient and people better off. Hunger for new projects. Have faith in their ability to instantly come up with new approaches that will work. Engineers of human relationships and systems as well as in the more scientific and technological domains."
ESFJ,"The theme for They is providing and ensuring that physical needs are met. Talents lie in supporting others and supplying them with what they need. Genuinely concerned about the welfare of others, making sure they are comfortable and involved. Use their sociability to nurture established institutions. Warm, considerate, thoughtful, friendly. Want to please and maintain harmonious relationships. Thrive on helping others and bringing people together."
ENFJ,"The theme for They is mentoring and leading people to achieve their potential and become more of who they are. Talents lie in empathizing with profound interpersonal insight and in influencing others to learn, grow, and develop. Lead using their exceptional communication skills, enthusiasm, and warmth to gain cooperation toward meeting the ideals they hold for the individual or the organization. Catalysts who draw out the best in others. Thrive on empathic connections. Frequently called on to help others with personal problems."
ENTJ,"The theme for They is directing and mobilizing. Talents lie in developing policy, establishing plans, coordinating and sequencing events, and implementing strategy. Excel at directing others in reaching the goals dictated by their strong vision of the organization. Thrive on marshaling forces to get plans into action. Natural organization builders and almost always find themselves taking charge in ineffective situations. Enjoy creating efficiently structured systems and setting priorities to achieve goals."
INFJ,"They are a rare personality type, making up only 1% of the population. These deep, insightful personalities combine insight, intellect, and empathy to “read” people in a way that is almost uncanny. They seem to “just know” about people and situations and how events will unfold. With this intuition, they are constantly looking ahead to determine what will happen in the future. They also have a gift for understanding people and identifying their underlying needs and emotions. They care deeply about the human race and want to help people by listening, counseling, and emotionally supporting them. If you look at many of our great philosophers and authors, you will find a plethora of They; people like Dante Alighieri, Carl Jung, Agatha Christie, and even J.K. Rowling!"
INFJ,"In childhood, They are fascinated by the unknown and the existential. They often seem more serious than other children their age, but they can quickly brighten up when they are in the company of a close friend or family member. They enjoy deep, loyal relationships and usually only want one or two friends rather than a large group. During childhood their intuition is developing rapidly. They seem to get inexplicable senses of knowing without even understanding why. For example, they might suddenly sense that someone they love is in pain, and feel a need to check on them even though there are no outer signs that anything is wrong. As they get older they learn to refine their intuition and learn what to trust."
INFJ,"They have a unique ability to empathize with other individuals. They can shift perspectives between many other people and instantly imagine what it must be like to be in their shoes. Because of this, they are often excellent peacemakers and counselors. It bothers them deeply when other people make snap judgments about people without making an effort to understand their situation or perspective. They often believe that with enough insight, almost anyone can be understood and empathized with. Even their enemies."
INFJ,"Even with their gift for empathy and understanding, many They grapple with feelings of loneliness. As a rare and often misunderstood type, they often feel like it’s difficult to find like-minded friends."
INFJ,"They have a unique ability to forecast how situations and events will play out. They tend to think forward and envision future scenarios with relative ease. Their goal is to find out where the “last domino will fall.” Seeing the ripple effects of situations tends to come naturally to them, so over time people learn to trust them for their hunches rather than dismiss them. They often just know when someone has ulterior motives or they may be able to instantly see the way a relationship could play out in both positive and negative ways many years down the road."
INFJ,"They take their romantic relationships very seriously for the most part. Many They are actually quite happy being single and don’t feel a particular compulsion to settle down or “find” romance. They would much rather be alone than with someone who isn’t ideal, and so they don’t mind taking their time to find a partner who has depth, sincerity, and they can actually see a future with. As introverts, They generally find a lot of happiness in their alone time and can actually feel overwhelmed when entering a relationship as they find themselves constantly thinking of the needs of the other person and having less of that quiet, tranquil time to themselves."
